Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2001,5,1.232,0.904,0.850,0.480,0.473,0.097,0.067,0.486,0.837,0.753,0.054,0.030,1.500,7.780,-0.203,0
2001,6,1.024,0.856,0.806,0.436,0.429,0.052,0.026,0.441,0.830,0.754,0.050,0.026,1.500,7.800,-0.134,0
2001,7,1.273,0.883,0.823,0.459,0.453,0.084,0.043,0.463,0.840,0.739,0.060,0.041,1.600,7.800,-0.366,0
2001,8,1.069,0.850,0.800,0.433,0.425,0.050,0.024,0.437,0.826,0.750,0.050,0.026,1.530,7.850,-0.161,0
2001,9,1.390,0.988,0.933,0.572,0.565,0.198,0.169,0.578,0.819,0.735,0.055,0.029,1.610,7.820,0.023,0
2001,10,1.471,0.866,0.811,0.445,0.440,0.070,0.035,0.450,0.831,0.741,0.055,0.035,1.620,7.920,-0.259,0
2001,11,1.009,0.831,0.765,0.403,0.398,0.031,0.007,0.419,0.824,0.734,0.066,0.024,1.600,7.830,-0.225,0
2001,12,1.066,0.846,0.771,0.407,0.400,0.029,-0.004,0.421,0.850,0.742,0.075,0.033,1.670,7.890,-0.292,0
2002,1,1.142,0.692,0.607,0.234,0.230,-0.146,-0.191,0.250,0.883,0.753,0.085,0.045,1.610,7.840,-0.450,0
2002,2,1.084,0.788,0.735,0.374,0.369,0.002,-0.039,0.375,0.827,0.733,0.053,0.041,1.610,7.870,-0.384,0
2002,3,1.107,0.709,0.643,0.265,0.262,-0.119,-0.159,0.275,0.868,0.762,0.066,0.040,1.640,7.870,-0.458,0
2002,4,1.183,0.796,0.724,0.349,0.345,-0.033,-0.066,0.365,0.862,0.757,0.072,0.033,1.620,7.850,-0.220,0
2002,5,0.996,0.783,0.719,0.353,0.347,-0.025,-0.054,0.365,0.837,0.744,0.064,0.029,1.610,7.840,-0.303,0
2002,6,1.143,0.855,0.785,0.423,0.415,0.046,0.014,0.434,0.841,0.739,0.070,0.032,1.620,7.880,-0.245,0
2002,7,1.089,0.848,0.786,0.429,0.421,0.056,0.026,0.437,0.822,0.730,0.062,0.030,1.600,7.820,-0.209,0
2002,8,1.116,0.888,0.831,0.473,0.467,0.103,0.074,0.481,0.814,0.728,0.057,0.029,1.620,7.870,-0.162,0
2002,9,1.195,0.988,0.932,0.577,0.570,0.209,0.181,0.584,0.807,0.723,0.056,0.028,1.610,7.860,0.010,0
2002,10,1.433,1.040,0.974,0.628,0.622,0.271,0.226,0.633,0.814,0.703,0.066,0.045,1.680,7.880,-0.042,0
2002,11,1.182,0.804,0.722,0.369,0.363,0.004,-0.047,0.379,0.851,0.718,0.082,0.051,1.790,8.030,-0.508,0
2002,12,1.225,0.789,0.714,0.346,0.342,-0.029,-0.076,0.356,0.865,0.743,0.075,0.047,1.780,8.040,-0.596,0
2003,1,1.257,0.775,0.687,0.334,0.330,-0.027,-0.086,0.345,0.861,0.714,0.088,0.059,1.730,7.970,-0.412,0
2003,2,1.396,0.725,0.662,0.312,0.306,-0.049,-0.105,0.310,0.830,0.711,0.063,0.056,1.570,7.840,-0.349,0
